eng,afr,source
MOTIONS:,VOORSTEL:,August
"Draft resolution (Chief Whip of the Majority Party): That the House suspends Rule 290(2)(a), which provides inter alia that the debate on the Second Reading of the Bill may not commence before at least three Assembly working days have elapsed since the committee’s report was tabled, for the purposes of conducting the Second Reading today on the:","Konsepbesluit (Hoofsweep van die Meerderheidsparty): Dat die Huis Reël 290(2)(a) opskort, wat ondermeer bepaal dat die debat oor die Tweede Lesing van die wetsontwerp nie mag begin voordat minstens drie werksdae van die Vergadering verstryk het nadat die komitee se verslag ter tafel gelê is nie met die doel om vandag se Tweede Lesing te hou oor die:",August
Disaster Management Tax Relief Bill [B 11B - 2020] (National Assembly – sec 77); and,Disaster Management Tax Relief Bill [B 11B - 2020] (Nasionale Vergadering – art 77); en,August
Disaster Management Tax Relief Administration Bill [B 12B - 2020] (National Assembly – sec 75).,Disaster Management Tax Relief Administration Bill [B 12B - 2020] (Nasionale Vergadering – art 75).,August
ORDERS OF THE DAY:,DAGORDES:,August
"Consideration of Report of Standing Committee on Finance on Disaster Management Tax Relief Bill [B 11 - 2020] (Announcements, Tablings and Committee Reports, 21 August 2020, p 8).","Oorweging van Verslag van Staande Komitee oor Finansies oor Disaster Management Tax Relief Bill [B 11 - 2020] (Aankondigings, Tertafelleggings en Komiteeverslae 21 Augustus 2020, bl 8).",August
"Consideration of Report of Standing Committee on Finance on Disaster Management Tax Relief Administration Bill [B 12 - 2020] (Announcements, Tablings and Committee Reports, 21 August 2020, p 3).","Oorweging van Verslag van Staande Komitee oor Finansies oor Disaster Management Tax Relief Administration Bill [B 12 - 2020] (Aankondigings, Tertafelleggings en Komiteeverslae 21 Augustus 2020, bl 3).",August
First Reading debate – Disaster Management Tax Relief Bill [B 11B - 2020] (National Assembly – sec 77) – (Minister of Finance).,Debat oor Eeste Lesing – Disaster Management Tax Relief Bill [B 11B - 2020] (Nasionale Vergadering – art 77) – (Minister van Finansies).,August
Second Reading debate – Disaster Management Tax Relief Administration Bill [B 12B - 2020] (National Assembly – sec 75) – (Minister of Finance).,Debat oor Tweede Lesing – Disaster Management Tax Relief Administration Bill [B 12B - 2020] (Nasionale Vergadering – art 75) – (Minister van Finansies).,August
Second Reading – Disaster Management Tax Relief Bill [B 11B - 2020] (National Assembly – sec 77) – (Minister of Finance).,Tweede Lesing – Disaster Management Tax Relief Bill [B 11B - 2020] (Nasionale Vergadering – art 77) – (Minister van Finansies).,August
Debate in terms of Rule 130: Phased-in approach to the reopening of schools by the Department of Basic Education – (Mr S L Ngcobo).,Debat ooreenkomstig Reël 130: Phased-in approach to the reopening of schools by the Department of Basic Education – (mnr S L Ngcobo).,August
"Consideration of Report of Portfolio Committee on Home Affairs on Oversight visit to Government Printing Works Head Office, Pretoria Gauteng (Announcements, Tablings and Committee Reports, 23 July 2020, p 13).","Oorweging van Verslag van Portefeuljekomitee oor Binnelandse Sake oor Oversight visit to Government Printing Works Head Office, Pretoria Gauteng (Aankondigings, Tertafelleggings en Komiteeverslae, 23 Julie 2020, bl 13).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Announcements, Tablings and Committee Reports, 11 March 2020, p 30).","Oorweging van Verslag van Portefeuljekomitee oor Staatsdiens en Administrasie oor Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Aankondigings, Tertafelleggings en Komiteeverslae, 11 Maart 2020, bl 30).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 23).","Oorweging van Verslag van Portefeuljekomitee oor Staatsdiens en Administrasie oor Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Aankondigings, Tertafelleggings en Komiteeverslae, 11 Maart 2020, bl 23).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 15).","Oorweging van Verslag van Portefeuljekomitee oor Staatsdiens en Administrasie oor Second and Third quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Aankondigings, Tertafelleggings en Komiteeverslae, 11 Maart 2020, bl 15).",August
FURTHER BUSINESS,VERDERE WERKSAAMHEDE,August
ORDERS OF THE DAY:,DAGORDES:,August
"Consideration of Report of Portfolio Committee on Transport on Road Accident Benefit Scheme Bill [B 17B – 2017] (Announcements, Tablings and Committee Reports, 21 August 2020, p 15).","Oorweging van Verslag van Portefeuljekomitee oor Vervoer oor Road Accident Benefit Scheme Bill [B 17B – 2017] (Aankondigings, Tertafelleggings en Komiteeverslae, 21 Augustus 2020, bl 15).",August
Second Reading – Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Minister of Transport).,Tweede Lesing – Road Accident Benefit Scheme Bill [B 17B – 2017] (Nasionale Vergadering – art 75) – (Minister van Vervoer).,August
