eng,nbl,source
QUESTIONS:,IMIBUZO:,August
Cluster 4: Economics.,Ihlanganisela yemiNyango 4: Zomnotho.,August
FURTHER BUSINESS,EMINYE IMISEBENZI YELANGA,August
ORDERS OF THE DAY:,IMISEBENZI YELANGA:,August
"Consideration of Report of Portfolio Committee on Transport on Road Accident Benefit Scheme Bill [B 17B – 2017] (Announcements, Tablings and Committee Reports, 21 August 2020, p 15).","Ukutjhejwa komBiko weKomidi yezokuThutha yesiBethamthetho seNarha omayelana noMthethomlimgwa wesiKhwama sesiBonelelo sezeNdlela [i-17B – 2017] (iiMemezelo, iZethulo nemiBiko yeKomidi, 21 kuRhoboyi 2020, ikh. 15).",August
Second Reading – Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Minister of Transport).,Ukufundwa kwesibili koMthethomlingwa – uMthethomlingwa omayelana nesiKhwama sesiBonelelo sezeNdlela [i-B 17B – 2017] (iNdlu yesiBethamthetho – isig 75) – (uNgqiongqotjhe wezeenThuthi).,August
"Consideration of Report of Portfolio Committee on Transport on 2019/20 Fourth Quarter Expenditure of Department of Transport (Announcements, Tablings and Committee Reports, 20 August 2020, p 26).","Ukutjhejwa komBiko weKomidi yezokuThutha yesiBethamthetho seNarha omayelana nombiko weKota yeSine yoMnyakamali ween- 2019/20 wezokuThutha wokusetjenziswa kwemali Mnyango wezokuThutha (iiMemezelo, iZethulo nemiBiko yeKomidi 20 kuRhoboyi 2020, ikh 26).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Fourth quarter performance of 2019/20 financial year: Department Public Service and Administration, entities and Public Service Commission (Announcements, Tablings and Committee Reports, 20 August 2020, p 16).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha weKomidi yezokuLawulwa kwemiSebenzi kaRhulumende omayelana nokutjhejwa kokusebenza kweKota yeSine yomnyakamali ween-2019/2020: uMnyango wokuLawulwa kwemiSebenzi kaRhulumende amaziko weLawulo likaRhulumende neKhomitjhini yemiSebenzi kaRhulumende. (iiMemezelo, iZethulo nemiBiko yeKomidi, 20 kuRhoboyi 2020, ikh 16).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Fourth quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 20 August 2020, p 10).","Ukutjhejwa komBiko weKomidi yasaFuthi yesiBethamthetho seNarha yezemiSebenzi neLawulo likaRhulumende omayelana nokuTjhejwa kokuSebenza kweKota yesine yoMnyakamali ween-2019/20: Iziko leMbalombalo leSewula Afrika (iiMemezelo, iZethulo nemiBiko yeKomidi, 20 kuRhoboyi 2020, ikh 10).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Fourth quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 20 August 2020, p 2).","Ukutjhejwa komBiko weKomidi yasaFuthi yesiBethamthetho seNarha yezemiSebenzi neLawulo likaRhulumende omayelana nokuTjhejwa kokuSebenza kweKota yesine yoMnyakamali ween-2019/20: uMnyango wezokuHlela, ukuTjheja nokwenza iLandelela nokuHlola kunye ne-Brand South Africa (iiMemezelo, iZethulo nemiBiko yeKomidi, 20 kuRhoboyi 2020, ikh 2).",August
"Consideration of Report of Portfolio Committee on Public Enterprises on Petition from the residents of Jamestown, Stellenbosch, calling on the Assembly to investigate the transfer, by Eskom, of management powers over the electricity network in Jamestown to Stellenbosch municipality (submitted by Dr L Shreiber, MP)  (Announcements, Tablings and Committee Reports, 19 August 2020, p 8).","Ukutjhejwa komBiko weKomidi yasaFuthi yesiBethamthetho seNarha omayelana nencwadi yeenililo ngamaBubulo kaRhulumende evela kuzakhamuzi zeJamestown, Stellenbosch ezenze ibizelo bona iNdlu yesiBethamthetho seNarha yenze iphenyo ngokudluliselwa kwamandla wokulawula ngu-Eskom mayelana nethungelelwao legezi e-Jamestown ukuwanikela kuMasipala we-Stellenbosch okulethwe ngu Dorh. L Shreiber, iLunga lePalamende) (iiMemezelo, iZethulo nemiBiko yeKomidi, 19 kuRhoboyi 2020, ikh 8).",August
