eng,ssw,source
ORDERS OF THE DAY:,TINHLELO TELUSUKU:,February
Introduction – Appropriation Bill [B 4 – 2020] (National Assembly – proposed sec 77) and tabling of Division of Revenue Bill [B 3 – 2020] (National Assembly – proposed sec 76) – (Minister of Finance).,Kwetfulwa – Umtsetfosivivinyo weKwabiwa Kwemali [B 4 – 2020] (Libandla laVelonkhe – sigaba lesiphakanyiswe se-77) nekwetfulwa kweMtsetfosivivinyo weKwehlukanisa Imalingena [B 3 – 2020] (Libandla laVelonkhe – sigaba lesiphakanyisiwe se-76) – (Indvuna yeTetimali).,February
FURTHER BUSINESS,UMSEBENTI LOCHUBEKAKO,February
ORDERS OF THE DAY:,TINHLELO TELUSUKU:,February
"Consideration of Report of Portfolio Committee on Transport on Air Traffic and Navigation Services Amendment Bill [B 6B – 2018] (Announcements, Tablings and Committee Reports, 18 February 2020, p 7).","Kucutjungulwa kweMbiko weLikomidi Lelibandla laVelonkhe leTekutfutsa lomayelana neMtsetfosivivinyo weKuchibela teKuhamba kweTindizamshini neTinsita teTinkampani teKuKhomba Indlela [B 6B – 2018] (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-18 Indlovulencane 2020, likh. le-7).",February
Second Reading debate – Air Traffic and Navigation Services  Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Minister of Transport).,Kufundvwa kweSibili kweNkhulumomphikiswano – Umtsetfosivivinyo weKuchibela teKuhamba kweTindzamshini neTinsita teTinkampani teKukhomba Imikhumbi Indlela [B 6B – 2018] (Libandla laVelonkhe – sigaba se-75) – (Indvuna yeTekutfutsa).,February
"Consideration of Report of Portfolio Committee on Transport on Airports Company Amendment Bill [B 5B – 2018] (Announcements, Tablings and Committee Reports, 18 February 2020, p 7).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekutfutsa lomayelana neMtsetfosivivinyo weKuchibela teTinkampani teTikhumulo teTindizamshini [B 5B – 2018] Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-18 Indlovulencane 2020, likh. le-7).",February
Second Reading debate – Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Minister of Transport).,Kufundvwa kweSibili kweNkhulumomphikswano – Umtsetfosivivinyo weKuchibela teTinkampani teTikhumulo teTindizamshini[B 5B – 2018] (Libandla laVelonkhe – sigaba se-75) – (Indvuna yeTekutfutsa).,February
"Consideration of Border Management Authority Bill [B 9D – 2016] (National Assembly – sec 75) and of Report of Portfolio Committee on Home Affairs on amendments proposed by National Council of Provinces (Announcements, Tablings and Committee Reports, 19 February 2020, p 4).","Kucutjungulwa kweMtsetfosivivinyo weTeligunya leLulawulo lweMinyele [B 9D – 2016] (Libandla laVelonkhe – sigaba se-75) neMbiko weLikomidi leSigungu saVelonkhe leTasekhaya mayelana netichibelo letaphakanyiswa nguMkhandlu waVelonkhe weTifundza (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-19 Indlovulencane 2020, likh. le-4).",February
"Consideration of Report of Portfolio Committee on Basic Education on Submission from the Griqua People’s Heritage on the lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","Kucutjungulwa kweMbiko weLikomidi leSigungu saVelonkhe leTekutfutsa weTemfundvo Lesisekelo lomayelana neSetfulo lesibuya kuteMagugu neMafa emaGriqua lesimayelana nekungabikhona kweSikolo seMabanga Laphasi (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-11 Indlovulencane 2020, likh le-5).",February
