eng,tso,source
ORDERS OF THE DAY:,MINONGONOKO YA SIKU:,June
Introduction – Adjustments Appropriation Bill [B 10 – 2020] (National Assembly – proposed sec 77) and tabling of Division of Revenue Amendment Bill [B 9 – 2020] (National Assembly – proposed sec 76) – (Minister of Finance).,Masungulo –Nawumbisi wa swa Mikavelo ya Timali ta Tiko wa [B 10 – 2020] (Huvo ya Rixaka –xiyenge xa 77 lexi ringanyetiweke) na ku andlaariwa ka Nawumbisi wo Cinca Maavelo ya Mali ya Tiko wa [B 9 – 2020] (Huvo ya Rixaka–xiyenge xa 76 lexi ringanyetiweke) – (Holobye wa swa Timali).,June
Introduction – Disaster Management Tax Relief Bill [B 11 – 2020] (National Assembly – proposed sec 77) and tabling of Disaster Management Tax Relief Administration Bill [B 12 – 2020] (National Assembly – proposed sec 75) – (Minister of Finance).,Masungulo –Nawumbisi wa Xibalo xa Mphalalo xa Malawulelo ya Timhangu wa [B 11 – 2020] (Huvo ya Rixaka –xiyenge xa 77 lexi ringanyetiweke) na ku andlariwa ka Nawumbisi wa Xibalo xa Mphalalo xa Malawulelo ya Timhangu wa [B 12 – 2020] (Huvo ya Rixaka–xiyenge xa 75 lexi ringanyetiweke) – (Holobye wa swa Timali).,June
FURTHER BUSINESS,NTIRHO KU YISA EMAHLWENI,June
ORDERS OF THE DAY:,MINONGONOKO YA SIKU:,June
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Gauteng (Announcement, Tablings and Committee Reports, 23 June 2020, p 17).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Bindzu na Vumaki hhi mayelana na rendzo ro angamela ro ya eGauteng (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 23 Khotavuxika 2020, papila ra 17).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Western Cape (Announcement, Tablings and Committee Reports, 23 June 2020, p 4).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya wa Bindzu na Vumaki hhi mayelana na rendzo ro angamela ro ya eKapaVupeladyambu (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 23 Khotavuxika 2020, papila ra 4).",June
"Consideration of Report of Portfolio Committee on Justice and Correctional Services on Notices determining remuneration of Public Protector and Commissioners of South African Human Rights Commission with effect from 1 April 2019 (Announcement, Tablings and Committee Reports, 22 June 2020, p 15).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukorhokeri bya Makhotso hi mayelana na switiviso leswi bohaka ku holeriwa ka Musirheleri wa vaakitiko na Vakhomixinara va Khomixini ya Timfanelo ta Ximunhu ya Afrika-Dzonga kusukela hi ti 1 Dzivamisoko 2019 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 23 Khotavuxika 2020, papila ra 15).",June
"Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcement, Tablings and Committee Reports, 19 June 2020, p 3).","Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcement, Tablings and Committee Reports, 19 June 2020, p 3).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Boksburg, Ekurhuleni metropolitan municipality, calling on the Assembly to investigate the numerous power outages (submitted by Mr M Waters, MP) and Petition from the residents of Germiston, Ekurhuleni metropolitan municipality calling on the Assembly to investigate the numerous power outages (submitted by Mr M Waters, MP)  (Announcement, Tablings and Committee Reports, 18 June 2020, p 167).","Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Boksburg, Ekurhuleni metropolitan municipality, calling on the Assembly to investigate the numerous power outages (submitted by Mr M Waters, MP) and Petition from the residents of Germiston, Ekurhuleni metropolitan municipality calling on the Assembly to investigate the numerous power outages (submitted by Mr M Waters, MP)  (Announcement, Tablings and Committee Reports, 18 June 2020, p 167).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Alberton, calling on the Assembly to investigate public participation and legislative compliance in the proposed housing development in Alberton (submitted by Mr D Bergman, MP) (Announcement, Tablings and Committee Reports, 18 June 2020, p 166).","Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Alberton, calling on the Assembly to investigate public participation and legislative compliance in the proposed housing development in Alberton (submitted by Mr D Bergman, MP) (Announcement, Tablings and Committee Reports, 18 June 2020, p 166).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition relating to Glen Marais Sub-Station Fire Incident under City of Ekurhuleni (Announcement, Tablings and Committee Reports, 18 June 2020, p 163).","Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition relating to Glen Marais Sub-Station Fire Incident under City of Ekurhuleni (Announcement, Tablings and Committee Reports, 18 June 2020, p 163).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Ward 37, Alberton North, Ekurhuleni, calling on the Assembly to investigate the illegal occupation of stand 1/1224 number 42, Second Avenue, Alberton North (submitted by Mr D Bergman, MP) (Announcement, Tablings and Committee Reports, 18 June 2020, p 160).","Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Ward 37, Alberton North, Ekurhuleni, calling on the Assembly to investigate the illegal occupation of stand 1/1224 number 42, Second Avenue, Alberton North (submitted by Mr D Bergman, MP) (Announcement, Tablings and Committee Reports, 18 June 2020, p 160).",June
