eng,ven,source
ORDERS OF THE DAY:,MITEVHE YA ḒUVHA:,June
Introduction – Adjustments Appropriation Bill [B 10 – 2020] (National Assembly – proposed sec 77) and tabling of Division of Revenue Amendment Bill [B 9 – 2020] (National Assembly – proposed sec 76) – (Minister of Finance).,Nḓivhadzo – Mulayotibe wa Mukovho wo Dzudzanyiwaho [B 10 – 2020] (Buthano ḽa Lushaka – khethekanyo ya 77 yo dzinginywaho) na maswikiswa a Mulayotibe wa Khwiniso wa Khethekanyo ya Mbuelo [B 9 – 2020] (Buthano ḽa Lushaka – khethekanyo ya 76 yo dzinginywaho) – (Minista wa Gwama).,June
Introduction – Disaster Management Tax Relief Bill [B 11 – 2020] (National Assembly – proposed sec 77) and tabling of Disaster Management Tax Relief Administration Bill [B 12 – 2020] (National Assembly – proposed sec 75) – (Minister of Finance).,Nḓivhadzo – Mulayotibe wa Muthelo wa Thusedzo ya Ndangulo ya Tshiwo [B 11 – 2020 Buthano ḽa Lushaka – khethekanyo ya 77 yo dzinginywaho) na maswikiswa a Mulayotibe wa Muthelo wa Thusedzo ya Ndaulo ya Tshiwo [B 12 – 2020] (Buthano ḽa Lushaka – khethekanyo ya 75 yo dzinginywaho) – (Minista wa Gwama).,June
FURTHER BUSINESS,MAṄWE MAFHUNGO,June
ORDERS OF THE DAY:,MITEVHE YA ḒUVHA:,June
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Gauteng (Announcement, Tablings and Committee Reports, 23 June 2020, p 17).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mbambadzo na Nḓowetshumo kha madalo a Vhulavhelesi ngei Gauteng (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 23 Fulwi 2020, s ḽa 17).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Western Cape (Announcement, Tablings and Committee Reports, 23 June 2020, p 4).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mbambadzo na Nḓowetshumo kha madalo a ngei Western Cape (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 23 Fulwi 2020, s ḽa 4).",June
"Consideration of Report of Portfolio Committee on Justice and Correctional Services on Notices determining remuneration of Public Protector and Commissioners of South African Human Rights Commission with effect from 1 April 2019 (Announcement, Tablings and Committee Reports, 22 June 2020, p 15).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Vhulamukanyi na Tshumelo dza Vhululamisi nga ha Nḓivhadzo dza u ta muholo wa Mutsireledzi wa Tshitshavha na Khomishinari dza Khomishini ya Pfanelo dza Vhathu ya Afrika Tshipembe u bva nga ḽa 1 Lambamai 2019 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 22 Fulwi 2020, s ḽa 15).",June
"Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcement, Tablings and Committee Reports, 19 June 2020, p 3).","U vhalululwa ha Muvhigo wa Komiti ya Tshoṱhe yo Ṱanganelaho nga ha Vhupileli nga Marifhi a bvaho kha Muphuresidennde nga Mushumo wa Mmbi ya Vhupileli ya Afrika Tshipembe ngei kha Mozambique Channel, Democratic Republic of Congo, u ya Ḓoroboni ya Wuhan ngei Vunduni ḽa Hubei ḽa People’s Republic of China, na u tikedza vha Tshumelo ya Mapholisa ya Africa Tshipembe na miṅwe Mihasho ya Muvhuso (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 19 Fulwi 2020, s ḽa 3).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Boksburg, Ekurhuleni metropolitan municipality, calling on the Assembly to investigate the numerous power outages (submitted by Mr M Waters, MP) and Petition from the residents of Germiston, Ekurhuleni metropolitan municipality calling on the Assembly to investigate the numerous power outages (submitted by Mr M Waters, MP)  (Announcement, Tablings and Committee Reports, 18 June 2020, p 167).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Vhuvhusi ha Vhushumisani na zwa Sialala nga Phethishini i bvaho kha vhadzuli vha Boksburg, kha masipala muhulwane wa Ekurhuleni, vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise u khauwa ha muḓagasi ho vhalaho (yo ḓiswa nga Vho M Waters, MP) na Phethishini i bvaho kha vhadzuli vha Germiston, kha masipala muhulwane wa Ekurhuleni vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise u ṱoḓisisa u khauwa ha muḓagasi ho vhalaho (yo ḓiswa nga Vho M Waters, MP)  (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 167).",June
